"","batter","pitch_type_condensed","p_throws","stand","avgEV","avgLA","zSwingPCT","oSwingPCT","sz_bot","sz_top"
"2489",670097,"SL","L","R",88.1727272727273,18.8181818181818,0.659090909090909,0.175,1.48809523809524,3.18630952380952
"2490",670097,"SL","R","R",78.6807692307692,14.7735849056604,0.708860759493671,0.216216216216216,1.49437908496732,3.1816339869281
"2491",670156,"CH","R","L",74.94,-3.7,0.62962962962963,0.333333333333333,1.41141025641026,2.91294871794872
"2492",670156,"FF","R","L",87.1384615384615,31.1076923076923,0.523809523809524,0.288135593220339,1.42094170403587,2.90677130044843
"2493",670156,"SL","R","L",79.9185185185185,19.4814814814815,0.5,0.0816326530612245,1.41327102803738,2.90009345794393
"2494",670242,"CH","R","L",84.2612244897959,1,0.781818181818182,0.402061855670103,1.84059210526316,3.71677631578947
"2495",670242,"FF","R","L",83.3612244897959,26.5102040816327,0.658415841584158,0.173333333333333,1.84116477272727,3.7278125
"2496",670242,"SI","L","L",77.0681818181818,5.8695652173913,0.696969696969697,0.178571428571429,1.85540983606557,3.71819672131148
"2497",670242,"SL","R","L",88.7928571428571,23.2142857142857,0.742857142857143,0.247311827956989,1.82901840490798,3.70766871165644
"2498",670541,"CB","R","L",83.0033333333333,15.3666666666667,0.396551724137931,0.247422680412371,1.71129032258065,3.46251612903226
"2499",670541,"CH","R","L",88.0138461538462,10.2,0.788732394366197,0.274193548387097,1.72625641025641,3.4774358974359
"2500",670541,"CT","R","L",88.2229166666667,22.3958333333333,0.80327868852459,0.2,1.72825396825397,3.48079365079365
"2501",670541,"FF","L","L",85.7708333333333,27.0972222222222,0.690909090909091,0.170212765957447,1.73166666666667,3.47073529411765
"2502",670541,"FF","R","L",85.9216783216783,29.1258741258741,0.65158371040724,0.178403755868545,1.72986175115207,3.48043778801843
"2503",670541,"SI","L","L",88.3441176470588,-6.23529411764706,0.552238805970149,0.254901960784314,1.72194915254237,3.46635593220339
"2504",670541,"SI","R","L",88.0692307692308,20.0769230769231,0.527272727272727,0.232142857142857,1.73720720720721,3.47783783783784
"2505",670541,"SL","L","L",78.5894736842105,8.1578947368421,0.528571428571429,0.42741935483871,1.72298969072165,3.47237113402062
"2506",670541,"SL","R","L",85.6650793650794,17.6349206349206,0.673913043478261,0.317073170731707,1.72651162790698,3.46306976744186
"2507",670623,"CB","R","R",80.9222222222222,19.5,0.573770491803279,0.204819277108434,1.52416666666667,3.18895833333333
"2508",670623,"CH","L","R",83.2361111111111,13.8055555555556,0.75,0.291666666666667,1.52333333333333,3.20648148148148
"2509",670623,"CH","R","R",81.477358490566,8.24528301886792,0.815384615384615,0.383720930232558,1.54006622516556,3.21609271523179
"2510",670623,"CT","R","R",81.24,25.6333333333333,0.742857142857143,0.234375,1.53515151515152,3.20585858585859
"2511",670623,"FF","L","R",82.8557142857143,33.7,0.620689655172414,0.267441860465116,1.53225433526012,3.22011560693642
"2512",670623,"FF","R","R",85.4719047619048,30.452380952381,0.661224489795918,0.329501915708812,1.52916996047431,3.20367588932806
"2513",670623,"SI","L","R",86.6918918918919,11.8918918918919,0.653846153846154,0.18,1.52656862745098,3.21813725490196
"2514",670623,"SI","R","R",85.7,11.5789473684211,0.61025641025641,0.201342281879195,1.53601744186047,3.21802325581395
"2515",670623,"SL","L","R",82.1066666666667,12.0666666666667,0.825,0.271186440677966,1.52010101010101,3.20494949494949
"2516",670623,"SL","R","R",81.6294478527607,14.9573170731707,0.654377880184332,0.299674267100977,1.52690839694656,3.19858778625954
"2517",670764,"CH","R","L",80.6877551020408,0.183673469387755,0.791666666666667,0.230769230769231,1.59368098159509,3.42791411042945
"2518",670764,"FF","L","R",78.9489361702128,34.9787234042553,0.773333333333333,0.142857142857143,1.59241935483871,3.42411290322581
"2519",670764,"FF","R","L",83.2221428571429,36.3214285714286,0.692307692307692,0.167597765363128,1.59826291079812,3.42239436619718
"2520",670764,"SI","R","L",86.4189189189189,20.9189189189189,0.581081081081081,0.155172413793103,1.57886363636364,3.39378787878788
"2521",670764,"SL","R","L",76.6135135135135,22.3513513513514,0.5375,0.135135135135135,1.58558441558442,3.41772727272727
"2522",670770,"CB","R","L",77.4052631578947,-6.71794871794872,0.481481481481481,0.224489795918367,1.46312849162011,3.10759776536313
"2523",670770,"CH","R","L",75.3889908256881,6.65137614678899,0.762820512820513,0.277227722772277,1.47379888268156,3.12061452513966
"2524",670770,"CT","R","L",79.4711538461539,13.1346153846154,0.571428571428571,0.337837837837838,1.48361111111111,3.13013888888889
"2525",670770,"FF","L","L",77.972,20.84,0.566265060240964,0.193548387096774,1.47703448275862,3.1308275862069
"2526",670770,"FF","R","L",80.1751072961373,30.8974358974359,0.56657223796034,0.269230769230769,1.48054773082942,3.13217527386541
"2527",670770,"SI","L","L",69.275,-7.66666666666667,0.442307692307692,0.346153846153846,1.48423076923077,3.15217948717949
"2528",670770,"SI","R","L",87.3985074626866,14.6268656716418,0.516949152542373,0.153061224489796,1.47953703703704,3.12212962962963
"2529",670770,"SL","L","L",72.1,0.470588235294118,0.578947368421053,0.241379310344828,1.4665625,3.12
"2530",670770,"SL","R","L",83.6015384615385,13.6212121212121,0.678571428571429,0.207207207207207,1.4704932735426,3.11421524663677
"2531",671213,"CB","R","L",82.8888888888889,8.35185185185185,0.5,0.25,1.72843220338983,3.65216101694915
"2532",671213,"CH","R","L",83.9186813186813,17.6373626373626,0.719424460431655,0.207547169811321,1.71538461538462,3.64683760683761
"2533",671213,"CT","R","L",85.825,16.35,0.685714285714286,0.169491525423729,1.72348837209302,3.63953488372093
"2534",671213,"FF","L","L",84.2564102564103,23.8717948717949,0.661971830985915,0.169811320754717,1.75887096774194,3.68016129032258
"2535",671213,"FF","R","L",86.6467661691542,28.681592039801,0.736156351791531,0.191588785046729,1.72525911708253,3.65623800383877
"2536",671213,"SI","L","L",81.203125,-3.46875,0.608695652173913,0.342105263157895,1.73142857142857,3.64619047619048
"2537",671213,"SI","R","L",85.1636363636364,11.5227272727273,0.619047619047619,0.155172413793103,1.7337323943662,3.66570422535211
"2538",671213,"SL","R","L",85,24.0588235294118,0.605769230769231,0.239669421487603,1.72724444444444,3.66755555555556
"2539",671221,"CB","R","L",85.8346153846154,10.6153846153846,0.509433962264151,0.383561643835616,1.66619047619048,3.50134920634921
"2540",671221,"CH","L","R",77.3793103448276,17.0689655172414,0.92,0.411764705882353,1.68065789473684,3.52710526315789
"2541",671221,"CH","R","L",79.5333333333333,12.7608695652174,0.783333333333333,0.378378378378378,1.68198830409357,3.51795321637427
"2542",671221,"FF","L","R",82.3344827586207,26.8620689655172,0.660377358490566,0.163265306122449,1.68117647058824,3.53647058823529
"2543",671221,"FF","R","L",80.8936,31.528,0.796703296703297,0.243421052631579,1.68844311377246,3.53535928143713
"2544",671221,"SI","R","L",88.3551724137931,20.5862068965517,0.636363636363636,0.214285714285714,1.70027777777778,3.52208333333333
"2545",671221,"SL","R","L",78.840350877193,9.87719298245614,0.75,0.346153846153846,1.69015625,3.53833333333333
