"","out_base_count_state","runs_expected","occurrences"
"131","1_010_31",0.847169811320755,530
"132","1_010_32",0.752808988764045,1157
"133","1_011_00",1.35973597359736,1212
"134","1_011_01",1.3218954248366,612
"135","1_011_02",1.2953216374269,342
"136","1_011_10",1.39809523809524,525
"137","1_011_11",1.32876712328767,511
"138","1_011_12",1.22644927536232,552
"139","1_011_20",1.48241206030151,199
"140","1_011_21",1.39114391143911,271
"141","1_011_22",1.23255813953488,516
"142","1_011_30",1.36486486486486,74
"143","1_011_31",1.38129496402878,139
"144","1_011_32",1.29588014981273,267
"145","1_100_00",0.532195382153471,13123
"146","1_100_01",0.485198889916744,6486
"147","1_100_02",0.417659018297996,3443
"148","1_100_10",0.578338156262919,4838
"149","1_100_11",0.512952258616998,4671
"150","1_100_12",0.428962371721779,4385
"151","1_100_20",0.64765525982256,1578
"152","1_100_21",0.541901867129831,2303
"153","1_100_22",0.47485697079193,3321
"154","1_100_30",0.873118279569893,465
"155","1_100_31",0.733905579399142,932
"156","1_100_32",0.558035714285714,2016
"157","1_101_00",1.15873810716074,1997
"158","1_101_01",1.02997858672377,934
"159","1_101_02",0.897750511247444,489
"160","1_101_10",1.25208913649025,718
"161","1_101_11",1.10407239819005,663
"162","1_101_12",0.93598615916955,578
"163","1_101_20",1.42629482071713,251
"164","1_101_21",1.25274725274725,364
"165","1_101_22",1.0337972166998,503
"166","1_101_30",1.56716417910448,67
"167","1_101_31",1.47967479674797,123
"168","1_101_32",1.22672064777328,247
"169","1_110_00",0.936860439799695,4593
"170","1_110_01",0.85363676929942,2241
"171","1_110_02",0.790697674418605,1247
"172","1_110_10",1.03001765744556,1699
"173","1_110_11",0.893203883495146,1648
"174","1_110_12",0.855522388059701,1675
"175","1_110_20",1.1965811965812,585
"176","1_110_21",0.952612393681653,823
"177","1_110_22",0.804499612102405,1289
"178","1_110_30",1.42105263157895,190
"179","1_110_31",1.13109756097561,328
"180","1_110_32",0.935664335664336,715
"181","1_111_00",1.57372826786864,1553
"182","1_111_01",1.46174142480211,758
"183","1_111_02",1.155,400
"184","1_111_10",1.65964343598055,617
"185","1_111_11",1.56996587030717,586
"186","1_111_12",1.28327645051195,586
"187","1_111_20",1.69268292682927,205
"188","1_111_21",1.55350553505535,271
"189","1_111_22",1.41555555555556,450
"190","1_111_30",2.01666666666667,60
"191","1_111_31",2.06976744186047,86
"192","1_111_32",1.75217391304348,230
"193","2_000_00",0.102725285022646,25612
"194","2_000_01",0.0860328461654362,13274
"195","2_000_02",0.0680439179427911,6922
"196","2_000_10",0.118817914085508,9847
"197","2_000_11",0.10179299876672,10541
"198","2_000_12",0.0687053216838761,10072
"199","2_000_20",0.131948507899356,3418
"200","2_000_21",0.130023218431863,5599
"201","2_000_22",0.0868700265251989,9048
"202","2_000_30",0.148111332007952,1006
"203","2_000_31",0.157017543859649,2280
"204","2_000_32",0.141406945681211,5615
"205","2_001_00",0.365428702430078,2181
"206","2_001_01",0.348304307974335,1091
"207","2_001_02",0.277397260273973,584
"208","2_001_10",0.356989247311828,930
"209","2_001_11",0.358627858627859,962
"210","2_001_12",0.289825282631038,973
"211","2_001_20",0.418032786885246,366
"212","2_001_21",0.376053962900506,593
"213","2_001_22",0.298319327731092,952
"214","2_001_30",0.534883720930233,129
"215","2_001_31",0.448,250
"216","2_001_32",0.311627906976744,645
"217","2_010_00",0.309001097694841,5466
"218","2_010_01",0.270096463022508,2799
"219","2_010_02",0.221192052980132,1510
"220","2_010_10",0.319966928482844,2419
"221","2_010_11",0.263687600644122,2484
"222","2_010_12",0.211469534050179,2511
"223","2_010_20",0.380801687763713,948
"224","2_010_21",0.298507462686567,1407
"225","2_010_22",0.207482993197279,2352
"226","2_010_30",0.431952662721893,338
"227","2_010_31",0.409691629955947,681
"228","2_010_32",0.273403595784253,1613
"229","2_011_00",0.533483822422874,1329
"230","2_011_01",0.457059679767103,687
"231","2_011_02",0.319512195121951,410
"232","2_011_10",0.58712715855573,637
"233","2_011_11",0.467766116941529,667
"234","2_011_12",0.352517985611511,695
"235","2_011_20",0.608365019011407,263
"236","2_011_21",0.530456852791878,394
"237","2_011_22",0.361788617886179,738
"238","2_011_30",0.653465346534653,101
"239","2_011_31",0.614525139664804,179
"240","2_011_32",0.370510396975425,529
"241","2_100_00",0.236746714997734,13242
"242","2_100_01",0.198727128082737,6285
"243","2_100_02",0.166304685076016,3223
"244","2_100_10",0.258578926120307,4954
"245","2_100_11",0.219449776071657,4689
"246","2_100_12",0.18260462941314,4277
"247","2_100_20",0.277879341864717,1641
"248","2_100_21",0.247957516339869,2448
"249","2_100_22",0.206013363028953,3592
"250","2_100_30",0.347912524850895,503
"251","2_100_31",0.299111549851925,1013
"252","2_100_32",0.265,2200
"253","2_101_00",0.516973125884017,2828
"254","2_101_01",0.420935412026726,1347
"255","2_101_02",0.366568914956012,682
"256","2_101_10",0.597378277153558,1068
"257","2_101_11",0.494461228600201,993
"258","2_101_12",0.392226148409894,849
"259","2_101_20",0.677871148459384,357
"260","2_101_21",0.495201535508637,521
"261","2_101_22",0.392,625
"262","2_101_30",1.00840336134454,119
"263","2_101_31",0.60337552742616,237
"264","2_101_32",0.487684729064039,406
"265","2_110_00",0.464104423495286,5516
"266","2_110_01",0.382406397673573,2751
"267","2_110_02",0.297259311314125,1423
"268","2_110_10",0.534507377439315,2101
"269","2_110_11",0.424638357442837,2143
"270","2_110_12",0.348515864892528,1954
"271","2_110_20",0.635211267605634,710
"272","2_110_21",0.459219858156028,1128
"273","2_110_22",0.366834170854271,1592
"274","2_110_30",0.825471698113208,212
